item,doc,source,summary,coherence,consistency,fluency,relevance
38,8,(same as above),"A term used to refer to the preadolescent stage in everyday speech is tween and its perhaps older variants tweenie, tweeny, tweenager, preteen and tweener. It is a blend (portmanteau) of the words ""teen"" and ""between"" in the sense of ""between childhood and adolescence"" and refers to 9- to 12-year-olds. Sometimes the terms tweenie and tweenager are used to differentiate between older (10 to 15) and younger (7 to 11) age groups, respectively.",,,,
39,8,(same as above),"Tween is an American neologism and marketing term for preteen, which is a blend of preteen and tween . The term is used to differentiate between older (10 to 15) and younger (7 to 11) age groups . A preteen or preteenager is a person below 13 years of age .",,,,
40,8,(same as above),"Tween is an American neologism and marketing term for preteen, which is a blend of between and teen. Preadolescence may also be defined as the period from 10 to 13 years. The stages of puberty can be described with the Tanner scale, also known as the Sexual Maturity Rating.",,,,
41,9,"Shakib Khan as Antu aka Bir Shabnom Bubly as Helena Hridoy Islam as Abir Misha Sawdagor as Dilu Bepari Nana Shah as Abul Kalam Munshi aka Khuinna Kalam Sadek Bacchu Shabnam Parvin Shiba Shanu Kazi Hayat as Sazzad Chowdhury (Special Appearance) Shakib Khan was contracted for the film Bir on September 26, 2018, when Mohammad Iqbal was supposed to produce the film. Later, succession of Hero: The Superstar in 2014 and Password in 2019, On 23 June 2019 Shakib Khan announced the production of four films together with Bir from his own production company SK Films. The film marked the 50th directorial venture of Kazi Hayat and first collaboration between Shakib Khan and Kazi Hayat. The film is dedicated to father of the nation Bangabandhu Sheikh Mujibur Rahman. On 2018 September 27, the lead actor and producer of the film Shakib Khan signed a contract for the ""Bir"" character of the film. On 2018, after the announcement of film making it was reported from the production company and producer that Shabnam Bubly will be acting in the film. Due to no formal announcement at the time many media reported that Shabnom Bubly is not staying in the film. After that on 15 July 2019 Shabnom Bubly officially contracted sign for the film. On 2019 August 24, Ariana Zaman was contracted for a role in the films, it is also her debut film. Though the shooting of Bir was scheduled to begin on 2019 January 10, the shooting of the film was halted due to the illness of director Kazi Hayat. On 15 July, Muhurat of the film was held at the Shruti Studio in Dhaka. Then, on the same day, the official filming of the film began at BFDC. The first phase depicts scenes of Shakib Khan and his friend's childhood and father, three days drawn till July 18. Shakib Khan's character name is Antu and his friend's character is Miran. After that, the lead actor of the film Shakib Khan was out of the shooting for almost one and a half month to create the perfect look for the movie. After this, again the filming of it gets stuck. Later, he participated in the second phase of filming in Pubail at Dhaka on November 28 of this year. Then, on December 2, Shabnom Bubly participated in the filming. The second phase of filming participated Shakib Khan, Shabnom Bubly, Misha Sawdagor and other artists. Later, on December 7, filming of the climax and action scene began. On 2019 December 25 Shakib Khan was admitted to the LabAid Hospital in Dhaka due to cold fever and gastric problems, then the film was stopped for about a week due to his illness. The film was complete with patchwork on January 26, 2020. The film soundtrack is composed Shawkat Ali Emon, Akassh and Ahmed Sagir, while background score are composed by Emon Saha. A total of four songs have been used in the film, Imran Mahmudul and Konal have sung the first song, title is Tumi Amar Jibon. It is composed by Akassh and lyrics by Kabir Bakul. Habib Rahman also choreographed of the song. The title of the song Tumi Amar Jibon is taken from the same title song by Zafar Iqbal and Bobita's Abujh Hridoy by Ahmed Imtiaz Bulbul Tune and lyrics and sung by Andrew Kishore and Runa Laila. The song was released on Shakib Khan's official YouTube channel SK Films on February 7, 2020. the second song of the film Toke Dekhle Shudhu Ekti Bar was released on February 11, the song sung by Akash Mahmood. It is composed by Shawkat Ali Emon and lyrics by Faisal Rabbikin. Then on the same day released its third song; The item song titled is Miss Bubly, sung by Somnur Monir Konal. The music of this song is composed by Akassh and lyrics written by Priyo Chattopadhyay.","Shakib Khan was contracted for the film Bir on September 26, 2018, when Mohammad Iqbal was supposed to produce the film. On 23 June 2019 Shakib Khan announced the production of four films together with Bir from his own production company SK Films. The film is dedicated to father of the nation Bangabandhu Sheikh Mujibur Rahman. A total of four songs have been used in the film, the first song, title is Tumi Amar Jibon.",,,,
42,9,(same as above),"Shakib Khan was contracted for the film Bir on September 26, 2018, when Mohammad Iqbal was supposed to produce the film . The film marked the 50th directorial venture of Kazi Hayat and first collaboration between Shakib Khan and KaziHayat . On September 27, the lead actor and producer of the",,,,
43,9,(same as above),"Shakib Khan as Antu aka Bir Shabnom Bubly as Helena Hridoy Islam as Abir Misha Sawdagor as Dilu Bepari Nana Shah as Abul Kalam Munshi aka Khuinna Kalam Sadek Bacchu Shabnam Parvin Shiba Shanu Kazi Hayat as Sazzad Chowdhury (Special Appearance) Shakib Khan was contracted for the film Bir on September 26, 2018, when Mohammad Iqbal was supposed to produce the film. Later, succession of Hero: The Superstar in 2014 and Password in 2019, On 23 June 2019 Shakib Khan announced the production of four films together with Bir from his own production company SK Films. The film marked the 50th directorial venture of Kazi Hayat and first collaboration between Shakib Khan and Kazi Hayat.",,,,
44,9,(same as above),"On 2018 September 27, the lead actor and producer of the film Shakib Khan signed a contract for the ""Bir"" character of the film. On 2018, after the announcement of film making it was reported from the production company and producer that Shabnam Bubly will be acting in the film. On 2019 December 25 Shakib Khan was admitted to the LabAid Hospital in Dhaka due to cold fever and gastric problems, then the film was stopped for about a week due to his illness.",,,,
45,9,(same as above),"Shakib Khan was contracted for the film Bir on September 26, 2018, when Mohammad Iqbal was supposed to produce the film . On",,,,
46,10,"The advent of civil defense was stimulated by the experience of the bombing of civilian areas during the First World War. The bombing of the United Kingdom began on 19 January 1915 when German zeppelins dropped bombs on the Great Yarmouth area, killing six people. German bombing operations of the First World War were surprisingly effective, especially after the Gotha bombers surpassed the zeppelins. The most devastating raids inflicted 121 casualties for each ton of bombs dropped; this figure was then used as a basis for predictions. After the war, attention was turned toward civil defense in the event of war, and the Air Raid Precautions Committee (ARP) was established in 1924 to investigate ways for ensuring the protection of civilians from the danger of air-raids. The Committee produced figures estimating that in London there would be 9,000 casualties in the first two days and then a continuing rate of 17,500 casualties a week. These rates were thought conservative. It was believed that there would be ""total chaos and panic"" and hysterical neurosis as the people of London would try to flee the city. To control the population harsh measures were proposed: bringing London under almost military control, and physically cordoning off the city with 120,000 troops to force people back to work. A different government department proposed setting up camps for refugees for a few days before sending them back to London. A special government department, the Civil Defence Service, was established by the Home Office in 1935. Its remit included the pre-existing ARP as well as wardens, firemen (initially the Auxiliary Fire Service (AFS) and latterly the National Fire Service (NFS)), fire watchers, rescue, first aid post, stretcher party and industry. Over 1.9 million people served within the CD; nearly 2,400 died from enemy action. The organization of civil defense was the responsibility of the local authority. Volunteers were ascribed to different units depending on experience or training. Each local civil defense service was divided into several sections. Wardens were responsible for local reconnaissance and reporting, and leadership, organization, guidance and control of the general public. Wardens would also advise survivors of the locations of rest and food centers, and other welfare facilities. Rescue Parties were required to assess and then access bombed-out buildings and retrieve injured or dead people. In addition they would turn off gas, electricity and water supplies, and repair or pull down unsteady buildings. Medical services, including First Aid Parties, provided on the spot medical assistance. The expected stream of information that would be generated during an attack was handled by 'Report and Control' teams. A local headquarters would have an ARP controller who would direct rescue, first aid and decontamination teams to the scenes of reported bombing. If local services were deemed insufficient to deal with the incident then the controller could request assistance from surrounding boroughs. Fire Guards were responsible for a designated area/building and required to monitor the fall of incendiary bombs and pass on news of any fires that had broken out to the NFS. They could deal with an individual magnesium alloy (""Elektron"") incendiary bomb by dousing it with buckets of sand or water or by smothering. Additionally, 'Gas Decontamination Teams' kitted out with gas-tight and waterproof protective clothing were to deal with any gas attacks. They were trained to decontaminate buildings, roads, rail and other material that had been contaminated by liquid or jelly gases. Little progress was made over the issue of air-raid shelters, because of the apparently irreconcilable conflict between the need to send the public underground for shelter and the need to keep them above ground for protection against gas attacks. In February 1936 the Home Secretary appointed a technical Committee on Structural Precautions against Air Attack. During the Munich crisis, local authorities dug trenches to provide shelter. After the crisis, the British Government decided to make these a permanent feature, with a standard design of precast concrete trench lining.","German bombing operations of the First World War were surprisingly effective, especially after the Gotha bombers surpassed the zeppelins . The Air Raid Precautions Committee (ARP) was established in 1924 to investigate ways for ensuring the protection of civilians from the danger of air-raids .",,,,
47,10,(same as above),"The advent of civil defense was stimulated by the experience of the bombing of civilian areas during the First World War. The Air Raid Precautions Committee (ARP) was established in 1924 to investigate ways for ensuring the protection of civilians from the danger of air-raids. A special government department, the Civil Defence Service, was established by the Home Office in 1935.",,,,
48,10,(same as above),"The advent of civil defense was stimulated by the experience of the bombing of civilian areas during the First World War. The bombing of the United Kingdom began on 19 January 1915 when German zeppelins dropped bombs on the Great Yarmouth area, killing six people. German bombing operations of the First World War were surprisingly effective, especially after the Gotha bombers surpassed the zeppelins.",,,,
49,10,(same as above),The Air Raid Precautions Committee was established in 1924 to investigate ways for protecting civilians from air-raids . The Air Raid Precautions Committee,,,,
50,10,(same as above),"After the war, attention was turned toward civil defense in the event of war, and the Air Raid Precautions Committee (ARP) was established in 1924 to investigate ways for ensuring the protection of civilians from the danger of air-raids. A local headquarters would have an ARP controller who would direct rescue, first aid and decontamination teams to the scenes of reported bombing. Fire Guards were responsible for a designated area/building and required to monitor the fall of incendiary bombs and pass on news of any fires that had broken out to the NFS.",,,,
51,11,"Reinforcement Learning (RL) has emerged as one of the pivotal approaches for achieving artificial general intelligence (AGI). Despite significant advancements in this field, traditional RL methods often struggle with complex tasks . To address this limitation, researchers have focused on developing predictive world models to enhance the planning capabilities and sample efficiency . Notably, MuZero-style algorithms leverage the value equivalence principle and Monte Carlo Tree Search (MCTS) to facilitate planning within learned latent spaces, achieving exceptional performance in domains such as board games and Atari . However, these achievements are largely restricted to settings requiring short-term memory and single-task learning . Significant challenges still persist in scaling these methods to heterogeneous scenarios, such as environments requiring long-term memory, diverse action spaces, or multitask learning, which limits their applicability to broader and more complex domains. In the fields of language and vision, the emergence of multi-head attention mechanisms has fundamentally transformed the development of general-purpose foundation models. By leveraging large-scale and diverse datasets in a simple next-token prediction framework, these mechanisms have driven significant advancements across a wide range of applications . Recently, there has been growing interest in extending these techniques to decision-making domains. Notably, some studies treat reinforcement learning as a sequence modeling problem, focusing on the supervised offline training of return-conditioned policies. Meanwhile, other works propose a two-stage online learning paradigm, where the policy and dynamics model are optimized independently . Empirical studies demonstrate the effectiveness of transformer-based architectures in capturing diverse backward memory capabilities within a unified, generalized framework. Similarly, Monte Carlo Tree Search (MCTS) is widely recognized for its efficiency in forward planning. Integrating these two paradigms offers a promising pathway for enhancing both retrospective and prospective cognitive functions in artificial intelligence. However, research on the seamless combination of transformers and MCTS remains sparse. This gap raises a critical question: Can transformer architectures enhance the efficiency and scalability of planning in complex, heterogeneous decision-making tasks characterized by diverse dependencies and variability? This paper represents an initial exploration of this question. We first systematically analyze the limitations of MuZero-style architectures using a representative Atari game under stacked or non-stacked input conditions, simulating varying dependency ranges required for optimal control. Our findings, summarized in Table and Figure , reveal two core limitations inherent to MuZero-style algorithms. First, the recurrent design introduces an intrinsic entanglement between latent representations and historical information, resulting in a bottleneck that impedes efficient information propagation. This entanglement further complicates the integration of self-supervised regularization losses (elaborated in Section ). Second, the architecture suffers from an under-utilization of trajectory data during training, which restricts its ability to fully exploit the accumulated experiential data. Consequently, these limitations reduce data efficiency and scalability, particularly in heterogeneous scenarios characterized by diverse dependencies and task variability. A comprehensive analysis and experimental validation of these limitations is presented in Section . To tackle these challenges, we introduce UniZero , a novel framework depicted on the right part of Figure . UniZero leverages a transformer-based world model to efficiently learn a task-agnostic shared latent space by disentangling latent states from implicit latent histories (see Section ). Specifically, UniZero integrates domain-specific encoders to map diverse inputs—such as images, proprioceptive data, and discrete or continuous actions—into a unified latent representation. The unified latent states and actions across varying time steps and tasks are then processed by a transformer backbone , enabling temporal and contextual modeling. To support decision-making, UniZero employs specialized heads , which model both latent dynamics (e.g., the predicted next latent state and reward) and decision-critical quantities (e.g., policy and value) conditioned on the latent history produced by the transformer backbone. This unified design allows for the joint optimization of long-horizon world models and policies , effectively mitigating the inconsistencies inherent to two-stage learning frameworks . With its unified and modularized architecture and training paradigm, UniZero holds the promise of becoming a scalable foundational model for decision-making in various heterogeneous scenarios.","Reinforcement Learning (RL) has emerged as one of the pivotal approaches for achieving artificial general intelligence (AGI) Despite significant advancements in this field, traditional RL methods often struggle with complex tasks. To tackle these challenges, we introduce UniZero, a novel framework. UniZero leverages a transformer-based world model to efficiently learn a task-agnostic shared latent space.",,,,
52,11,(same as above),"Reinforcement Learning (RL) has emerged as one of the pivotal approaches for achieving artificial general intelligence (AGI) Despite significant advancements in this field, traditional RL methods often struggle with complex tasks . To address this limitation, researchers have focused on developing predictive world models to enhance planning capabilities and sample efficiency .",,,,
53,11,(same as above),"This gap raises a critical question: Can transformer architectures enhance the efficiency and scalability of planning in complex, heterogeneous decision-making tasks characterized by diverse dependencies and variability? This unified design allows for the joint optimization of long-horizon world models and policies , effectively mitigating the inconsistencies inherent to two-stage learning frameworks . With its unified and modularized architecture and training paradigm, UniZero holds the promise of becoming a scalable foundational model for decision-making in various heterogeneous scenarios.",,,,
54,11,(same as above),Reinforcement Learning (RL) has emerged as one of the pivotal approaches for achieving artificial general intelligence (AGI) Despite significant advancements in,,,,
55,11,(same as above),"Reinforcement Learning (RL) has emerged as one of the pivotal approaches for achieving artificial general intelligence (AGI). Despite significant advancements in this field, traditional RL methods often struggle with complex tasks . To address this limitation, researchers have focused on developing predictive world models to enhance the planning capabilities and sample efficiency .",,,,
56,12,"Murder by Death was formed in 2000 in Bloomington, Indiana, by guitarist Adam Turla, cellist Sarah Balliet, percussionist Alexander Schrodt, keyboardist Vincent Edwards, and bassist Matt Armstrong. One of the group's first shows was at the Channing-Murray Foundation's cafe The Red Herring in Urbana, Illinois, with former American Football drummer Steve Lamos' solo project DMS. After the show, the head of the TEAM AV record label with which Lamos was working offered to help Turla and his bandmates secure additional shows. Around the same time the band met Thursday vocalist, Geoff Rickly, when the two bands played on the same bill at a gig in their hometown of Bloomington. Rickly introduced the band, known at the time as Little Joe Gould, to his friend Alex Saavedra (owner of Eyeball Records), who also took an interest in the band. In 2001 the band self-released the eponymous Little Joe Gould EP and early the next year contributed the song ""I'm Afraid of Who's Afraid of Virginia Woolf"" to the TEAM AV compilation Foreign Nationals. A short time later the group changed their name to Murder By Death, which they felt better represented their sound. While still performing under the name Little Joe Gould, the band headed out on an 11-date tour stretching from California to Louisiana with the Chicago-based band Volta Do Mar. On this tour the band honed the songs for their debut album, which was recorded in several Chicago studios with Tim Iseler, then a guitarist with the TEAM AV-affiliated band Re:Rec. Both the tour and the recording engineer were arranged by the TEAM AV label, and the resulting Like The Exorcist, But More Breakdancing was released on Eyeball in August 2002. The band extensively toured behind the album with bands such as Cursive, Interpol, and The American Analog Set. In July 2003 the band released a split album with Volta Do Mar entitled Konrad Friedrich Wilhelm Zimmer in honor of the grandfather of the TEAM AV label owner who appears on the cover. Along with the song ""Canyon Inn, Room 16"" from the Little Joe Gould EP, Murder By Death also contributed ""Knife Goes In, Guts Come Out"" and the instrumental track ""We Watch a Lot of Movies"" alongside an alternative version of ""A Masters in Reverse Psychology"". Konrad Friedrich Wilhelm Zimmer was recorded with producer D. James Goodwin during sessions that would ultimately bear the release of Who Will Survive, and What Will Be Left of Them? in October. In December the band released a tribute 7"" single for friend and musician Matt Davis of the band Ten Grand who had died earlier that year, before continuing to tour nationwide with Lucero, The Weakerthans, William Elliott Whitmore, and Rasputina. ""Those Who Left"", from Like The Exorcist..., is an eight-minute instrumental, often played live in total darkness. This song is often paired with ""Those Who Stayed"", a shorter instrumental from the same album. This pairing, played during encores, is seen on setlists as ""The Two Evils"" or ""Medley of Evil"". My Chemical Romance frontman Gerard Way provides guest vocals on Who Will Survive... track ""The Devil in Mexico"". Thursday frontman Geoff Rickly provides guest vocals on the Who Will Survive... track ""Killbot 2000"". William Elliott Whitmore provides guest vocals on the Who Will Survive... track ""Until Morale Improves, The Beatings Will Continue."" According to the band's website, he sang to them through a telephone while he was on the side of the road in Texas. Pianist Vincent Edwards left the band in 2004 in order to return to academia. Cellist Sarah Balliet added keyboard duties to her cello playing. More touring was followed by a stint back at school, during which time the band wrote their third album, In Bocca Al Lupo, which was released in May 2006 on their own label Tent Show Records, an imprint of East West Records.","Murder by Death was formed in 2000 in Bloomington, Indiana, by guitarist Adam Turla, cellist Sarah Balliet, percussionist Alexander Schrodt, keyboardist Vincent Edwards, and bassist Matt Armstrong. One of the group's first shows was at the Channing-Murray Foundation's cafe The Red Herring in Urbana, Illinois, with former American Football drummer Steve Lamos' solo project DMS. After the show, the head of the TEAM AV record label with which Lamos was working offered to help Turla and his bandmates secure additional shows.",,,,
57,12,(same as above),"In July 2003 the band released a split album with Volta Do Mar entitled Konrad Friedrich Wilhelm Zimmer in honor of the grandfather of the TEAM AV label owner who appears on the cover. In December the band released a tribute 7"" single for friend and musician Matt Davis of the band Ten Grand who had died earlier that year, before continuing to tour nationwide with Lucero, The Weakerthans, William Elliott Whitmore, and Rasputina. More touring was followed by a stint back at school, during which time the band wrote their third album, In Bocca Al Lupo, which was released in May 2006 on their own label Tent Show Records, an imprint of East West Records.",,,,
58,12,(same as above),"Murder by Death was formed in Bloomington, Indiana, in 2000. The band released their first EP, Little Joe Gould, in 2001. In 2003 they released a split album with Volta Do Mar entitled Konrad Friedrich Wilhelm Zimmer. In 2006 they released their third album, In Bocca Al Lupo, on their own label Tent Show Records.",,,,
59,12,(same as above),"Murder by Death was formed in 2000 in Bloomington, Indiana, by Adam Turla, Sarah Balliet, Alexander Schrodt, Vincent Edwards, and Matt Armstrong . The band self-released the eponymous Little Joe Gould EP in 2001 . In 2001 the band contributed the song ""I'm Afraid of Who's Afraid",,,,
60,12,(same as above),"Murder By Death formed in 2000 in Bloomington, Indiana, by Adam Turla, Sarah Balliet, Alexander Schrodt, Vincent",,,,
61,13,"In recent years, diffusion models have revolutionized the field of image generation, achieving state-of-the-art results in both the diversity and quality of generated content. The advancement of vision-language models has further enhanced the capabilities of diffusion models, giving rise to novel applications in text-to-image (T2I) generation . However, existing studies have shown that diffusion models also exhibit vulnerability issues, where appending a specific suffix to the original prompts can manipulate diffusion models to generate completely different image content. ATM and SAGE have respectively investigated white-box attacks for both untargeted and targeted scenarios. Additionally, Adversarial Prompting (AP) explored query-based targeted attack. However, all three methods demand a significant number of image generations, not only making it time-consuming but also unsuitable for commercial models due to their confidentiality or substantial monetary costs. QF-Attack introduces an attack method that does not require image generation, but it is limited to untargeted attack and targeted erasing, namely generating random image content unrelated to the original prompt and omitting a specific category mentioned in the original prompt respectively. MMA-Diffusion optimized adversarial prompts to make T2I models generate Not-Safe-For-Work (NSFW) images. However, it did not consider the issue from a robustness perspective, meaning it did not require modifications on a given original prompt. Consequently, the problem addressed by MMA-Diffusion was relatively easier. Besides their unsatisfactory performance, existing studies are also limited by their designed algorithms solely on either text or image feature space. In QF-Attack and MMA-Diffusion, the distance from the original prompt and target prompt was calculated in the text feature space. In ATM, SAGE and AP, the objective functions were designed in the image feature space with an auxiliary image classifier, assessing whether the generated images contain objects of predefined categories. The lack of exploration across different modalities inspired us to visualize the text and image feature space within diffusion models simultaneously. A significant difference between the two modalities is thus observed. As shown in Fig. , we draw both text and image features of 400 samples embedded by Stable Diffusion v1.4 (SD v14), which are formed with 100 templates and 4 objects. Details of these samples are given in Sec. 3.2. The prompts are embedded chaotically in the text feature space, while in the image feature space they are clustered according to their subjects. This phenomenon can be attributed to the fact that text features distribute their emphasis across a variety of words, consequently placing greater importance on the sentences or templates. In contrast, image features are more concentrated on the specific objects. This difference also highlights certain suboptimal alignments within existing diffusion models, particularly from a robustness standpoint, which we will further analyse in Sec. 3.2. Based on this observation, we propose an MMP-Attack by utilizing M ulti- M odal P riors. Our approach optimizes a suffix appended to the original prompt, aiming to effectively manipulate T2I diffusion models. Specifically, it facilitates the generation of a desired target object by removing the original object, thus addressing the most challenging scenario. The distance between the optimized prompt and the target category (to add) is minimized in both text and image feature space. The differences between our MMP-Attack and existing works are briefly summarized in Table . Comprehensive experiments demonstrate the superior universality and transferability of our optimized suffix. Universality indicates that a suffix optimized under a specific prefix can, to some extent, generalize to other prefixes. Transferability indicates that the suffix optimized on an open-source diffusion model can be employed to manipulate a black-box diffusion model, posing a more severe security threat to commercial T2I models, such as DALL-E 3. In this paper, our experimental results show an attack success rate of 50.4% in manipulating Stable Diffusion v2.1 (SD v21) using the suffix generated on SD v14. Moreover, after analyzing the optimized suffix, we observed that MMP-Attack often works in a cheating way, which means that it often contains some tokens related to the target object.",,,,,
62,13,(same as above),"However, existing studies have shown that diffusion models also exhibit vulnerability issues, where appending a specific suffix to the original prompts can manipulate diffusion models to generate completely different image content. QF-Attack introduces an attack method that does not require image generation, but it is limited to untargeted attack and targeted erasing, namely generating random image content unrelated to the original prompt and omitting a specific category mentioned in the original prompt respectively. Transferability indicates that the suffix optimized on an open-source diffusion model can be employed to manipulate a black-box diffusion model, posing a more severe security threat to commercial T2I models, such as DALL-E 3.",,,,
63,13,(same as above),"In recent years, diffusion models have revolutionized the field of image generation . The advancement of vision-language models has further enhanced the capabilities of diffusion models, giving rise to novel applications in text-to-image (T2I) generation . In ATM, SAGE and AP, the objective functions were designed in the image feature space",,,,
64,13,(same as above),"In recent years, diffusion models have revolutionized the field of image generation, achieving state-of-the-art results in both the diversity and quality of generated content. The advancement of vision-language models has further enhanced the capabilities of diffusion models, giving rise to novel applications in text-to-image (T2I) generation . However, existing studies have shown that diffusion models also exhibit vulnerability issues, where appending a specific suffix to the original prompts can manipulate diffusion models to generate completely different image content.",,,,
65,13,(same as above),"MMA-Diffusion optimized adversarial prompts to make T2I models generate Not-Safe-For-Work (NSFW) images. The distance between the optimized prompt and the target category (to add) is minimized in both text and image feature space. In this paper, our experimental results show an attack success rate of 50.4% in manipulating Stable Diffusion v2.1 (SD v21) using the suffix generated on SD v14.",,,,
66,14,"Monocular metric depth and surface normal estimation is the task of predicting absolute distance and surface direction from a single image. As crucial 3D representations, depth and normals are geometrically related and highly complementary. While metric depth excels in capturing data at scale, surface normals offer superior preservation of local geometry and are devoid of metric ambiguity compared to metric depth. These unique attributes render both depth and surface normals indispensable in various computer vision applications, including 3D reconstruction , neural rendering (NeRF) , autonomous driving , and robotics . Currently, the community still lacks a robust, generalizable geometry foundation model capable of producing high-quality metric depth and surface normal from a single image. Metric depth estimation and surface normal estimation confront distinct challenges. Existing depth estimation methods are categorized into learning metric depth , relative depth , and affine-invariant depth . Although the metric depth methods have achieved impressive accuracy on various benchmarks, they must train and test on the dataset with the same camera intrinsics. Therefore, the training datasets of metric depth methods are often small, as it is hard to collect a large dataset covering diverse scenes using one identical camera. The consequence is that all these models generalize poorly in zero-shot testing, not to mention the camera parameters of test images can vary too. A compromise is to learn the relative depth , which only represents one point being further or closer to another one. The application of relative depth is very limited. Learning affine-invariant depth finds a trade-off between the above two categories of methods, i.e. the depth is up to an unknown scale and shift. With large-scale data, they decouple the metric information during training and achieve impressive robustness and generalization ability, such as MiDaS , DPT , LeReS , HDN . The problem is the unknown shift will cause 3D reconstruction distortions and non-metric depth cannot satisfy various downstream applications. In the meantime, these models cannot generate surface normals. Although lifting depths to 3D point clouds can do so, it places high demands on the accuracy and fine details of predicted depths. Otherwise, various artifacts will remain in such transformed normals. For example, Fig. shows noisy normals from Marigold depths, which excels in producing high-resolution fine depths. Instead of direct transformation, state-of-the-art (SoTA) surface normal estimation methods tend to train estimators on high-quality normal annotations. These annotations, unlike sensor-captured ground-truth (GT), are derived from meticulously and densely reconstructed scenes, which have extremely rigorous requirements for both the capturing equipment and the scene. Consequently, data sources primarily consist of either synthetic creation or 3D indoor reconstruction . Real and diverse outdoor scenes are exceedingly rare. (refer to our data statistics in Tab. ). Limited by this label deficiency, SoTA surface normal methods typically struggle with strong zero-shot generalization. This work endeavors to tackle these challenges by developing a multi-task foundation model for zero-shot, single view, metric depth, and surface normal estimation. We propose targeted solutions for the challenges of zero-shot metric depth and surface normal estimation. For metric-scale recovery, we first analyze the metric ambiguity issues in monocular depth estimation and study different camera parameters in depth, including the pixel size, focal length, and sensor size. We observe that the focal length is the critical factor for accurate metric recovery. By design, affine-invariant depth methods do not take the focal length information into account during training. As shown in Sec. , only from the image appearance, various focal lengths may cause metric ambiguity, thus they decouple the depth scale in training. To solve the problem of varying focal lengths, CamConv encodes the camera model in the network, which enforces the network to implicitly understand camera models from the image appearance and then bridges the imaging size to the real-world size. However, training data contains limited images and types of cameras, which challenges data diversity and network capacity.","As crucial 3D representations, depth and normals are geometrically related and highly complementary. While metric depth excels in capturing data at scale, surface normals offer superior preservation of local geometry and are devoid of metric ambiguity compared to metric depth. Currently, the community still lacks a robust, generalizable geometry foundation model capable of producing high-quality metric depth and surface normal from a single image.",,,,
67,14,(same as above),"Monocular metric depth and surface normal estimation is the task of predicting absolute distance and surface direction from a single image. As crucial 3D representations, depth and normals are geometrically related and highly complementary. While metric depth excels in capturing data at scale, surface normals offer superior preservation of local geometry and are devoid of metric ambiguity compared to metric depth.",,,,
68,14,(same as above),"Monocular metric depth and surface normal estimation is the task of predicting absolute distance and surface direction from a single image. Currently, the community still lacks a robust, generalizable geometry foundation model capable of producing high-quality metric depth and surface normal from a single image. We propose targeted solutions for the challenges of zero-shot metric depth and surface normal estimation.",,,,
69,14,(same as above),Metric depth estimation and surface normal estimation confront distinct challenges . The problem is the unknown shift will cause 3D reconstruction distortions and non-metric depth cannot satisfy various downstream applications . We propose targeted solutions for the challenges of zero-shot metric depth and surfacenormal estimation .,,,,
70,14,(same as above),Metric depth and surface normal estimation are difficult to predict from a single image . They must train and test on the same camera intrinsics as,,,,
71,15,"Graph Neural Networks (GNNs) have become increasingly important in graph representation learning, as data in many real-world domains can be naturally modeled as graphs. GNNshave found applications in several sensitive fields, including information processing , criminal justice , molecular chemistry , and bio-informatics . In these sensitive domains, interpretability is crucial for ensuring transparent, justifiable, and ethical decision-making. As GNN usage expands, understanding their internal processes becomes vital for effective and safe usage of these models in practical settings. To address these challenges, various graph explainers have been proposed. These graph explainers typically provide two types of explanations crucial for GNNprediction: (1) identification of subgraphs , and (2) determination of node features . However, graph explainers and GNNsface an inherent limitation in their ability to generate representations stemming from graphs’ ability to model only pair-wise interactions between nodes. This limitation has implications on the expressivity of GNNs, which is explored in detail by . To address this, higher-order structures such as cell complexes have been employed as they are a higher-order generalization of graphs, capable of modeling multi-node interactions. Neural networks designed for these higher-order structures have demonstrated significant performance improvements in graph learning tasks compared to traditional graph structures, and have been shown to be more expressive than traditional GNNs. Despite these advancements in higher-order graph representations, there exists a critical gap in the field of graph explainability: the potential of higher-order structures to enhance the interpretability of graph-based models remains unexplored. In this work, we present F ramework For Higher- O rder R epresentations In G raph E xplanations (FORGE), a novel, explainer-agnostic framework designed to enhance the capability of graph explainers by capturing multi-node interactions during the GNNlearning process itself by internally representing the underlying graph data as a cell complex. To further refine the quality of explanations, as part of our framework we introduce Information Propagation algorithms that translate the explanations generated for cell complexes back to the underlying graph data, resulting in richer, more accurate, and faithful explanations with respect to the input data as well as the underlying GNN predictor. This is encapsulated by Figure , where our framework can capture the multi-node interactions of a benzene ring, which is the correct ground truth explanation. Without FORGE, the base explainer is unable to interpret these interactions, resulting in less accurate explanations. The overall framework is described in Figure . We conduct extensive evaluations of FORGEon real-world datasets from the GraphXAI benchmark, as well as on specially curated synthetic datasets. Our results demonstrate that incorporating FORGEconsistently matches or improves the explanation accuracy and faithfulness of various graph explainers. To reaffirm our hypothesis, we perform rigorous ablations and find that each components of our framework contribute significantly to increased explainer performance. Additionally, our analysis on scalability reveals that FORGEefficiently handles dense, complex graph networks with only linear overhead in both time and space complexity, further emphasizing its practical applicability and computational efficiency.","Graph Neural Networks (GNNs) have become increasingly important in graph representation learning. GNNshave found applications in several sensitive fields, including information processing, criminal justice, molecular chemistry and bio-informatics. In these sensitive domains, interpretability is crucial for ensuring transparent, justifiable, and ethical decision-making.",,,,
